ability	(n) [əˈbɪlɪti] khả năng
chip	(n) [tʃɪp] mảnh, mảnh
chocolate	(n) [ˈtʃɒklət] sô cô la, chocolate
choice	(n) [tʃɔɪs] sự lựa chọn, sự chọn lựa
choose	(v) [tʃuːz] lựa chọn, chọn
church	(n) [tʃɜːrtʃ] nhà thờ, nhà thờ
cigarette	(n) [ˌsɪɡəˈret] điếu thuốc, điếu
circle	(n) [ˈsɜːrkl] vòng tròn, vòng tròn
circumstance	(n) [ˈsɜːrkəmstəns] hoàn cảnh, tình huống
cite	(v) [saɪt] trích dẫn, dẫn
citizen	(n) [ˈsɪtɪzn] công dân, công dân
city	(n) [ˈsɪti] thành phố, thành phố
civil	(adj) [ˈsɪvl] dân sự, dân sự
civilian	(n) [sɪˈvɪliən] dân thường, dân sự
claim	(v) [kleɪm] tuyên bố, đòi hỏi
clash	(v) [klæʃ] va chạm, xung đột
class	(n) [klæs] lớp, lớp học
classic	(adj) [ˈklæsɪk] cổ điển, kinh điển
classical	(adj) [ˈklæsɪkl] cổ điển, kinh điển
classify	(v) [ˈklæsɪfaɪ] phân loại, phân loại
classroom	(n) [ˈklæsruːm] lớp học, phòng học
clean	(adj) [kliːn] sạch sẽ, sạch
cleaning	(n) [ˈkliːnɪŋ] sự vệ sinh, việc làm vệ sinh
clear	(adj) [klɪr] rõ ràng, sáng sủa
clearly	(adv) [ˈklɪərli] rõ ràng, rõ ràng
clerk	(n) [klɜːrk] nhân viên, thư ký
click	(v) [klɪk] nhấp chuột, kích chuột
client	(n) [ˈklaɪənt] khách hàng, người mua hàng
climate	(n) [ˈklaɪmət] khí hậu, khí hậu
climb	(v) [klaɪm] leo, trèo
clinic	(n) [ˈklɪnɪk] phòng khám, phòng mạch
clinical	(adj) [ˈklɪnɪkl] lâm sàng, thuộc về lâm sàng
clock	(n) [klɒk] đồng hồ, cái đồng hồ
close	(adj) [kləʊs] đóng cửa, gần
closed	(adj) [kləʊzd] đóng cửa, đã đóng cửa
closely	(adv) [ˈkləʊsli] kỹ lưỡng, chặt chẽ
closet	(n) [ˈklɒzɪt] tủ, tủ quần áo
cloth	(n) [klɒθ] vải, vải
clothes	(n) [kləʊðz] quần áo, quần áo
clothing	(n) [ˈkləʊðɪŋ] quần áo, quần áo
cloud	(n) [klaʊd] đám mây, đám mây
club	(n) [klʌb] câu lạc bộ, câu lạc bộ
clue	(n) [kluː] manh mối, manh mối
coach	(n) [kəʊtʃ] huấn luyện viên, huấn luyện viên
coal	(n) [kəʊl] than, than đá
coast	(n) [kəʊst] bờ biển, bờ biển
coat	(n) [kəʊt] áo khoác, áo khoác
code	(n) [kəʊd] mã, mã
coffee	(n) [ˈkɒfi] cà phê, cà phê
coin	(n) [kɔɪn] đồng xu, đồng xu
cold	(adj) [kəʊld] lạnh, cảm lạnh
collapse	(v) [kəˈlæps] sụp đổ, sụp đổ
colleague	(n) [ˈkɒliːɡ] đồng nghiệp, đồng nghiệp
collect	(v) [kəˈlekt] thu thập, sưu tập
collection	(n) [kəˈlekʃn] bộ sưu tập, bộ sưu tập
college	(n) [ˈkɒlɪdʒ] trường cao đẳng, trường đại học
colour	(n) [ˈkʌlə(r)] màu sắc, màu
column	(n) [ˈkɒləm] cột, cột
combination	(n) [ˌkɒmbɪˈneɪʃn] sự kết hợp, sự kết hợp
combine	(v) [kəmˈbaɪn] kết hợp, kết hợp
come	(v) [kʌm] đến, đến
comedy	(n) [ˈkɒmədi] hài kịch, hài hước
comfort	(n) [ˈkʌmfərt] sự thoải mái, sự thoải mái
comfortable	(adj) [ˈkʌmfətəbl] thoải mái, thoải mái
command	(n) [kəˈmɑːnd] lệnh, lệnh
comment	(n) [ˈkɒmənt] bình luận, ý kiến
commercial	(adj) [kəˈmɜːʃl] thương mại, thương mại
commission	(n) [kəˈmɪʃn] ủy ban, ủy ban
commit	(v) [kəˈmɪt] cam kết, cam kết
committee	(n) [kəˈmɪti] ủy ban, ủy ban
common	(adj) [ˈkɒmən] phổ biến, thông thường
communication	(n) [kəˌmjuːnɪˈkeɪʃn] giao tiếp, giao tiếp
community	(n) [kəˈmjuːnəti] cộng đồng, cộng đồng
company	(n) [ˈkʌmpəni] công ty, công ty
compare	(v) [kəmˈpeə(r)] so sánh, so sánh
comparison	(n) [kəmˈpærɪsn] sự so sánh, sự so sánh
compete	(v) [kəmˈpiːt] cạnh tranh, thi đấu
competition	(n) [ˌkɒmpɪˈtɪʃn] sự cạnh tranh, cuộc thi
competitive	(adj) [kəmˈpetɪtɪv] cạnh tranh, cạnh tranh
complain	(v) [kəmˈpleɪn] phàn nàn, than phiền
complaint	(n) [kəmˈpleɪnt] sự phàn nàn, khiếu nại
complete	(adj) [kəmˈpliːt] hoàn thành, hoàn chỉnh
completely	(adv) [kəmˈpliːtli] hoàn toàn, hoàn toàn
complex	(adj) [ˈkɒmpleks] phức tạp, phức tạp
complicate	(v) [ˈkɒmplɪkeɪt] làm phức tạp, làm phức tạp
complicated	(adj) [ˈkɒmplɪkeɪtɪd] phức tạp, phức tạp
component	(n) [kəmˈpəʊnənt] thành phần, thành phần
compose	(v) [kəmˈpəʊz] soạn, viết
composition	(n) [ˌkɒmpəˈzɪʃn] sự soạn thảo, bài luận
compound	(n) [ˈkɒmpaʊnd] hợp chất, hợp chất
comprehensive	(adj) [ˌkɒmprɪˈhensɪv] toàn diện, toàn diện
compress	(v) [kəmˈpres] nén, nén
computer	(n) [kəmˈpjuːtə(r)] máy tính, máy tính
concentrate	(v) [ˈkɒnsəntreɪt] tập trung, tập trung
concentration	(n) [ˌkɒnsənˈtreɪʃn] sự tập trung, nồng độ
concept	(n) [ˈkɒnsept] khái niệm, khái niệm
concern	(n) [kənˈsɜːrn] quan tâm, quan tâm
concerned	(adj) [kənˈsɜːrnd] quan tâm, lo lắng
concert	(n) [ˈkɒnsərt] buổi hòa nhạc, buổi biểu diễn
conclude	(v) [kənˈkluːd] kết luận, kết thúc
conclusion	(n) [kənˈkluːʒn] kết luận, kết thúc
concrete	(adj) [ˈkɒŋkriːt] bê tông, bê tông
condition	(n) [kənˈdɪʃn] điều kiện, tình trạng
conduct	(v) [kənˈdʌkt] tiến hành, thực hiện
conference	(n) [ˈkɒnfərəns] hội nghị, hội nghị
confidence	(n) [ˈkɒnfɪdəns] lòng tin, sự tự tin
confident	(adj) [ˈkɒnfɪdənt] tự tin, tin tưởng
confine	(v) [kənˈfaɪn] hạn chế, giam giữ
confirm	(v) [kənˈfɜːrm] xác nhận, xác nhận
conflict	(n) [ˈkɒnflɪkt] xung đột, va chạm
confront	(v) [kənˈfrʌnt] đối mặt, đương đầu
confuse	(v) [kənˈfjuːz] làm rối, làm bối rối
confusion	(n) [kənˈfjuːʒn] sự rối, sự hoang mang
congratulate	(v) [kənˈɡrætjʊleɪt] chúc mừng, chúc mừng
congregation	(n) [ˌkɒŋɡrɪˈɡeɪʃn] giáo dân, giáo hội
connect	(v) [kəˈnekt] kết nối, kết nối
connection	(n) [kəˈnekʃn] kết nối, kết nối
conscious	(adj) [ˈkɒnʃəs] tỉnh táo, có ý thức
consciousness	(n) [ˈkɒnʃəsnəs] ý thức, ý thức
consensus	(n) [kənˈsensəs] sự đồng thuận, sự thống nhất
consent	(n) [kənˈsent] sự đồng ý, sự chấp nhận
consequence	(n) [ˈkɒnsɪkwəns] hậu quả, hậu quả
consequently	(adv) [ˈkɒnsɪkwəntli] do đó, vì vậy
conservation	(n) [ˌkɒnsəˈveɪʃn] sự bảo tồn, sự bảo vệ
conservative	(adj) [kənˈsɜːrvətɪv] bảo thủ, bảo thủ
consider	(v) [kənˈsɪdə(r)] xem xét, cân nhắc
considerable	(adj) [kənˈsɪdərəbl] đáng kể, đáng kể
considerably	(adv) [kənˈsɪdərəbli] đáng kể, đáng kể
consideration	(n) [kənˌsɪdəˈreɪʃn] sự xem xét, sự cân nhắc
consist	(v) [kənˈsɪst] bao gồm, gồm có
consistent	(adj) [kənˈsɪstənt] nhất quán, nhất quán
constant	(adj) [ˈkɒnstənt] không đổi, ổn định
constantly	(adv) [ˈkɒnstəntli] liên tục, không ngừng
constitute	(v) [ˈkɒnstɪtjuːt] cấu thành, hình thành
constitution	(n) [ˌkɒnstɪˈtjuːʃn] hiến pháp, cấu trúc
construct	(v) [kənˈstrʌkt] xây dựng, xây dựng
construction	(n) [kənˈstrʌkʃn] xây dựng, công trình xây dựng
consult	(v) [kənˈsʌlt] tư vấn, tham khảo
consultant	(n) [kənˈsʌltənt] tư vấn, chuyên gia tư vấn
consume	(v) [kənˈsjuːm] tiêu thụ, sử dụng
consumer	(n) [kənˈsjuːmə(r)] người tiêu dùng, người tiêu dùng
consumption	(n) [kənˈsʌmpʃn] sự tiêu thụ, sự sử dụng
contact	(n) [ˈkɒntækt] liên lạc, liên lạc
contain	(v) [kənˈteɪn] chứa đựng, chứa đựng
container	(n) [kənˈteɪnə(r)] container, thùng chứa
contemporary	(adj) [kənˈtemprəri] đương thời, đương thời
content	(adj) [ˈkɒntent] hài lòng, nội dung
contest	(n) [ˈkɒntest] cuộc thi, cuộc thi
context	(n) [ˈkɒntekst] ngữ cảnh, bối cảnh
continue	(v) [kənˈtɪnjuː] tiếp tục, tiếp tục
continuous	(adj) [kənˈtɪnjuəs] liên tục, liên tục
contract	(n) [ˈkɒntrækt] hợp đồng, hợp đồng
contrary	(adj) [ˈkɒntrəri] ngược lại, trái ngược
contrast	(n) [ˈkɒntræst] sự tương phản, sự tương phản
contribute	(v) [kənˈtrɪbjuːt] đóng góp, góp phần
contribution	(n) [ˌkɒntrɪˈbjuːʃn] sự đóng góp, sự góp phần
control	(v) [kənˈtrəʊl] kiểm soát, điều khiển
convenient	(adj) [kənˈviːniənt] thuận tiện, tiện lợi
convention	(n) [kənˈvenʃn] hội nghị, quy ước
conventional	(adj) [kənˈvenʃənl] thông thường, theo quy ước
conversation	(n) [ˌkɒnvəˈseɪʃn] cuộc trò chuyện, cuộc trò chuyện
convert	(v) [kənˈvɜːt] chuyển đổi, chuyển đổi
convince	(v) [kənˈvɪns] thuyết phục, thuyết phục
cook	(n) [kʊk] đầu bếp, người nấu ăn
cooker	(n) [ˈkʊkə(r)] nồi nấu, lò nấu
cookie	(n) [ˈkʊki] bánh quy, bánh quy
cooking	(n) [ˈkʊkɪŋ] nấu ăn, việc nấu ăn
cool	(adj) [kuːl] mát mẻ, mát
cooperate	(v) [kəʊˈɒpəreɪt] hợp tác, cộng tác
cooperation	(n) [kəʊˌɒpəˈreɪʃn] sự hợp tác, sự cộng tác
coordinate	(v) [kəʊˈɔːdɪneɪt] phối hợp, phối hợp
cope	(v) [kəʊp] đối phó, đương đầu
copy	(v) [ˈkɒpi] sao chép, bản sao
core	(n) [kɔː(r)] hạt nhân, trung tâm
corner	(n) [ˈkɔːnə(r)] góc, góc
corporate	(adj) [ˈkɔːpərət] doanh nghiệp, công ty
corporation	(n) [ˌkɔːpəˈreɪʃn] tập đoàn, công ty
correct	(adj) [kəˈrekt] chính xác, đúng
correspond	(v) [ˌkɒrɪˈspɒnd] tương ứng, tương ứng
correspondence	(n) [ˌkɒrɪˈspɒndəns] thư từ, thư từ
corridor	(n) [ˈkɒrɪdɔː(r)] hành lang, hành lang
cost	(n) [kɒst] giá cả, chi phí
costly	(adj) [ˈkɒstli] đắt đỏ, đắt tiền
cottage	(n) [ˈkɒtɪdʒ] nhà tranh, nhà tranh
cotton	[ˈkɒtn]	bông, vải cotton
couch	(n) [kaʊtʃ] ghế sofa, giường
cough	(n) [kɒf] ho, ho
council	(n) [ˈkaʊnsl] hội đồng, hội đồng
countryside	(n) [ˈkʌntrɪˌsaɪd] nông thôn, vùng quê
couple	(n) [ˈkʌpl] cặp, đôi
courage	(n) [ˈkʌrɪdʒ] lòng can đảm, dũng cảm
course	(n) [kɔːs] khóa học, chương trình học
court	(n) [kɔːt] tòa án, sân tennis
cousin	(n) [ˈkʌzn] anh em họ, anh em họ
cover	(v) [ˈkʌvə(r)] che phủ, bao phủ
coverage	(n) [ˈkʌvərɪdʒ] phạm vi, bảo hiểm
cow	(n) [kaʊ] con bò, bò cái
crack	(n) [kræk] nứt, nứt
craft	(n) [krɑːft] nghề, nghệ thuật
crash	(v) [kræʃ] đâm, va chạm
crawl	(v) [krɔːl] bò, trườn
crazy	(adj) [ˈkreɪzi] điên, điên rồ
cream	(n) [kriːm] kem, kem
create	(v) [kriˈeɪt] tạo ra, sáng tạo
creation	(n) [kriˈeɪʃn] sự tạo ra, sự sáng tạo
creative	(adj) [kriˈeɪtɪv] sáng tạo, sáng tạo
creature	(n) [ˈkriːtʃə(r)] sinh vật, sinh vật
credit	(n) [ˈkredɪt] tín dụng, sự ghi công
crew	(n) [kruː] phi hành đoàn, đội ngũ
crime	(n) [kraɪm] tội ác, tội phạm
criminal	(n) [ˈkrɪmɪnl] tội phạm, phạm nhân
crisis	(n) [ˈkraɪsɪs] khủng hoảng, cuộc khủng hoảng
criteria	(n) [kraɪˈtɪəriə] tiêu chí, tiêu chuẩn
critic	(n) [ˈkrɪtɪk] nhà phê bình, nhà phê bình
critical	(adj) [ˈkrɪtɪkl] quan trọng, quan trọng
criticism	(n) [ˈkrɪtɪsɪzəm] sự phê bình, sự chỉ trích
criticize	(v) [ˈkrɪtɪsaɪz] phê bình, chỉ trích
crop	(n) [krɒp] mùa màng, vụ mùa
cross	(v) [krɒs] băng qua, vượt qua
crowd	(n) [kraʊd] đám đông, đám đông
crucial	(adj) [ˈkruːʃl] quan trọng, quyết định
cruel	(adj) [ˈkruːəl] tàn nhẫn, độc ác
cruise	(n) [kruːz] cuộc du ngoạn, chuyến đi du ngoạn
crush	(v) [krʌʃ] nghiền, đè nát
cry	(v) [kraɪ] khóc, gào khóc
crystal	(n) [ˈkrɪstl] pha lê, tinh thể
cube	(n) [kjuːb] khối, hình lập phương
cultural	(adj) [ˈkʌltʃərəl] văn hóa, văn hóa
culture	(n) [ˈkʌltʃə(r)] văn hóa, văn hóa
cup	(n) [kʌp] cốc, ly
cupboard	(n) [ˈkʌbə(r)d] tủ, tủ quần áo
curb	(n) [kɜːb] vỉa hè, bờ vỉa
curious	(adj) [ˈkjʊəriəs] tò mò, hiếu kỳ
curl	(v) [kɜːl] xoắn, uốn
currency	(n) [ˈkʌrənsi] tiền tệ, đơn vị tiền tệ
current	(adj) [ˈkʌrənt] hiện tại, hiện thời
currently	(adv) [ˈkʌrəntli] hiện nay, hiện tại
curtain	(n) [ˈkɜːtn] rèm, màn cửa
curve	(n) [kɜːv] đường cong, đường cong
custom	(n) [ˈkʌstəm] phong tục, phong tục
customer	(n) [ˈkʌstəmə(r)] khách hàng, người mua
customary	(adj) [ˈkʌstəmeri] thông thường, thông thường
customize	(v) [ˈkʌstəmaɪz] tùy chỉnh, điều chỉnh theo yêu cầu
cut	(v) [kʌt] cắt, cắt
cycle	(n) [ˈsaɪkl] chu kỳ, chu kỳ
cycling	(n) [ˈsaɪklɪŋ] đạp xe, đua xe đạp
cyclist	(n) [ˈsaɪklɪst] người đạp xe, tay đua xe đạp
cylinder	(n) [ˈsɪlɪndər] xi lanh, hình trụ
dad	(n) [dæd] bố, cha
daily	(adj) [ˈdeɪli] hàng ngày, hàng ngày
damage	(n) [ˈdæmɪdʒ] thiệt hại, tổn thất
dance	(n) [dæns] khiêu vũ, động tác
danger	(n) [ˈdeɪndʒə(r)] nguy hiểm, nguy hiểm
dangerous	(adj) [ˈdeɪndʒərəs] nguy hiểm, nguy hiểm
dark	(adj) [dɑːk] tối, tối
darkness	(n) [ˈdɑːknəs] sự tối, sự tối
data	(n) [ˈdeɪtə] dữ liệu, dữ liệu
database	(n) [ˈdeɪtəbeɪs] cơ sở dữ liệu, cơ sở dữ liệu
date	(n) [deɪt] ngày, cuộc hẹn
daughter	(n) [ˈdɔːtə(r)] con gái, con gái
day	(n) [deɪ] ngày, ngày
dead	(adj) [ded] chết, chết
deal	(n) [diːl] giao dịch, thỏa thuận
dealer	(n) [ˈdiːlə(r)] người bán, người môi giới
dear	(adj) [dɪə(r)] thân yêu, đáng yêu
death	(n) [deθ] cái chết, sự chết
debate	(n) [dɪˈbeɪt] cuộc tranh luận, cuộc tranh luận
debt	(n) [det] nợ, nợ
decade	(n) [ˈdekeɪd] thập kỷ, thập kỷ
decay	(n) [dɪˈkeɪ] suy tàn, sự phân hủy
December	(n) [dɪˈsembə(r)] tháng mười hai, tháng mười hai
decide	(v) [dɪˈsaɪd] quyết định, quyết định
decision	(n) [dɪˈsɪʒn] quyết định, sự quyết định
declare	(v) [dɪˈkleə(r)] tuyên bố, tuyên bố
decline	(v) [dɪˈklaɪn] suy giảm, sự suy giảm
decorate	(v) [ˈdekəreɪt] trang trí, trang trí
decoration	(n) [ˌdekəˈreɪʃn] trang trí, đồ trang trí
decorative	(adj) [ˈdekərətɪv] trang trí, trang trí
decrease	(n) [dɪˈkriːs] sự giảm, sự giảm
deep	(adj) [diːp] sâu, sâu
deeply	(adv) [ˈdiːpli] sâu, sâu
deer	(n) [dɪə(r)] nai, nai
defeat	(n) [dɪˈfiːt] thất bại, thất bại
defend	(v) [dɪˈfend] bảo vệ, bảo vệ
define	(v) [dɪˈfaɪn] định nghĩa, xác định
definite	(adj) [ˈdefɪnət] rõ ràng, chắc chắn
definitely	(adv) [ˈdefɪnɪtli] chắc chắn, nhất định
definition	(n) [ˌdefɪˈnɪʃn] định nghĩa, định nghĩa
degree	(n) [dɪˈɡriː] bằng cấp, mức độ
delay	(n) [dɪˈleɪ] sự trì hoãn, sự trễ
deliver	(v) [dɪˈlɪvə(r)] giao hàng, phân phát
delivery	(n) [dɪˈlɪvəri] giao hàng, phân phát
demand	(n) [dɪˈmænd] nhu cầu, yêu cầu
democracy	(n) [dɪˈmɒkrəsi] dân chủ, chế độ dân chủ
democratic	(adj) [ˌdeməˈkrætɪk] thuộc về dân chủ
demonstrate	(v) [ˈdemənstreɪt] chứng minh, biểu tình
demonstration	(n) [ˌdemənˈstreɪʃn] cuộc biểu tình, sự chứng minh
dense	(adj) [dens] dày đặc, đậm đặc
density	(n) [ˈdensəti] mật độ, nồng độ
deny	(v) [dɪˈnaɪ] phủ nhận, từ chối
department	(n) [dɪˈpɑːtmənt] bộ phận, phòng ban
depend	(v) [dɪˈpend] phụ thuộc, dựa vào
dependent	(adj) [dɪˈpendənt] phụ thuộc, dựa vào
deposit	(n) [dɪˈpɒzɪt] tiền gửi, đặt cọc
depression	(n) [dɪˈpreʃn] trầm cảm, suy thoái
depth	(n) [depθ] độ sâu, chiều sâu
derive	(v) [dɪˈraɪv] xuất phát, bắt nguồn
describe	(v) [dɪˈskraɪb] mô tả, miêu tả
description	(n) [dɪˈskrɪpʃn] sự mô tả, miêu tả
desert	(n) [ˈdezət] sa mạc, vùng sa mạc
deserve	(v) [dɪˈzɜːv] xứng đáng, đáng được
design	(n) [dɪˈzaɪn] thiết kế, kế hoạch
designer	(n) [dɪˈzaɪnə(r)] nhà thiết kế, người thiết kế
desire	(n) [dɪˈzaɪə(r)] mong muốn, khao khát
desk	(n) [desk] bàn làm việc, bàn làm việc
desktop	(n) [ˈdesktɒp] máy tính để bàn, máy tính để bàn
destination	(n) [ˌdestɪˈneɪʃn] điểm đến, đích đến
destroy	(v) [dɪˈstrɔɪ] phá hủy, tiêu diệt
destruction	(n) [dɪˈstrʌkʃn] sự phá hủy, sự tiêu diệt
detail	(n) [ˈdiːteɪl] chi tiết, chi tiết
detailed	(adj) [ˈdiːteɪld] chi tiết, cụ thể
detect	(v) [dɪˈtekt] phát hiện, nhận ra
detection	(n) [dɪˈtekʃn] sự phát hiện, sự nhận biết
determine	(v) [dɪˈtɜːmɪn] xác định, quyết định
determined	(adj) [dɪˈtɜːmɪnd] quyết tâm, kiên quyết
develop	(v) [dɪˈveləp] phát triển, phát triển
development	(n) [dɪˈveləpmənt] sự phát triển, sự phát triển
device	(n) [dɪˈvaɪs] thiết bị, thiết bị
devote	(v) [dɪˈvəʊt] dành, hiến dâng
diagram	(n) [ˈdaɪəɡræm] biểu đồ, sơ đồ
dial	(n) [ˈdaɪəl] đĩa số, bàn xoay
dialogue	(n) [ˈdaɪəlɒɡ] đối thoại, cuộc trò chuyện
diamond	(n) [ˈdaɪəmənd] kim cương, viên kim cương
diary	(n) [ˈdaɪəri] nhật ký, sổ tay
dictionary	(n) [ˈdɪkʃənəri] từ điển, từ điển
diet	(n) [ˈdaɪət] chế độ ăn uống, chế độ ăn kiêng
differ	(v) [ˈdɪfə(r)] khác nhau, khác biệt
difference	(n) [ˈdɪfərəns] sự khác biệt, sự khác nhau
different	(adj) [ˈdɪfrənt] khác nhau, khác biệt
difficult	(adj) [ˈdɪfɪkəlt] khó khăn, khó khăn
difficulty	(n) [ˈdɪfɪkəlti] khó khăn, khó khăn
dig	(v) [dɪɡ] đào, đào
digital	(adj) [ˈdɪdʒɪtl] kỹ thuật số, số hóa
dimension	(n) [dɪˈmenʃn] chiều, kích thước
diminish	(v) [dɪˈmɪnɪʃ] giảm bớt, làm suy giảm
dine	(v) [daɪn] ăn tối, dùng bữa tối
dining	(n) [ˈdaɪnɪŋ] ăn, bữa ăn
dinner	(n) [ˈdɪnə(r)] bữa tối, bữa tối
diplomat	(n) [ˈdɪpləmæt] nhà ngoại giao, nhà ngoại giao
direct	(adj) [dɪˈrekt] trực tiếp, thẳng thừng
direction	(n) [dɪˈrekʃn] hướng, phương hướng
directly	(adv) [dɪˈrektli] trực tiếp, một cách trực tiếp
director	(n) [dɪˈrektə(r)] giám đốc, đạo diễn
dirt	(n) [dɜːt] bụi bặm, bẩn thỉu
dirty	(adj) [ˈdɜːti] bẩn, dơ bẩn
disability	(n) [ˌdɪsəˈbɪləti] khuyết tật, sự tàn tật
disabled	(adj) [dɪsˈeɪbld] khuyết tật, bị tàn tật
disagree	(v) [ˌdɪsəˈɡriː] không đồng ý, không đồng ý
disappear	(v) [ˌdɪsəˈpɪə(r)] biến mất, biến mất
disappoint	(v) [ˌdɪsəˈpɔɪnt] làm thất vọng, làm thất vọng
disappointed	(adj) [ˌdɪsəˈpɔɪntɪd] thất vọng, thất vọng
disappointing	(adj) [ˌdɪsəˈpɔɪntɪŋ] thất vọng, thất vọng
disappointment	(n) [ˌdɪsəˈpɔɪntmənt] sự thất vọng, sự thất vọng
disaster	(n) [dɪˈzɑːstə(r)] thảm họa, tai họa
disc	(n) [dɪsk] đĩa, đĩa
discipline	(n) [ˈdɪsɪplɪn] kỷ luật, kỷ luật
discount	(n) [ˈdɪskaʊnt] giảm giá, chiết khấu
discover	(v) [dɪˈskʌvə(r)] khám phá, phát hiện
discovery	(n) [dɪˈskʌvəri] sự khám phá, sự phát hiện
discuss	(v) [dɪˈskʌs] thảo luận, bàn luận
discussion	(n) [dɪˈskʌʃn] cuộc thảo luận, cuộc trao đổi
disease	(n) [dɪˈziːz] bệnh, căn bệnh
disgust	(n) [dɪsˈɡʌst] sự kinh tởm, sự ghê tởm
disgusted	(adj) [dɪsˈɡʌstɪd] kinh tởm, ghê tởm
disgusting	(adj) [dɪsˈɡʌstɪŋ] kinh tởm, ghê tởm
dish	(n) [dɪʃ] đĩa, đĩa
disk	(n) [dɪsk] đĩa, ổ đĩa
dismiss	(v) [dɪsˈmɪs] sa thải, giải tán
display	(v) [dɪˈspleɪ] trưng bày, hiển thị
dispute	(n) [dɪˈspjuːt] tranh cãi, mâu thuẫn
distance	(n) [ˈdɪstəns] khoảng cách, khoảng cách
distant	(adj) [ˈdɪstənt] xa xôi, xa cách
distinct	(adj) [dɪˈstɪŋkt] rõ ràng, khác biệt
distinction	(n) [dɪˈstɪŋkʃn] sự khác biệt, sự phân biệt
distinguish	(v) [dɪˈstɪŋɡwɪʃ] phân biệt, nhận biết
distribute	(v) [dɪˈstrɪbjuːt] phân phối, phân phát
distribution	(n) [ˌdɪstrɪˈbjuːʃn] phân phối, sự phân phát
district	(n) [ˈdɪstrɪkt] quận, huyện
disturb	(v) [dɪˈstɜːb] làm phiền, quấy rầy
disturbance	(n) [dɪˈstɜːbəns] sự làm phiền, sự quấy rầy
divide	(v) [dɪˈvaɪd] chia, phân chia
division	(n) [dɪˈvɪʒn] phân chia, phần chia
divorce	(n) [dɪˈvɔːs] ly hôn, sự ly hôn
do	(v) [duː] làm, thực hiện
doctor	(n) [ˈdɒktə(r)] bác sĩ, bác sĩ
document	(n) [ˈdɒkjʊmənt] tài liệu, văn bản
dog	(n) [dɒɡ] con chó, chó
dollar	(n) [ˈdɒlə(r)] đô la, đô la
domestic	(adj) [dəˈmestɪk] trong nước, nội địa
dominance	(n) [ˈdɒmɪnəns] sự chiếm ưu thế, sự ưu thế
dominant	(adj) [ˈdɒmɪnənt] chiếm ưu thế, ưu thế
dominate	(v) [ˈdɒmɪneɪt] chiếm ưu thế, thống trị
door	(n) [dɔː(r)] cửa, cửa
dot	(n) [dɒt] chấm, dấu chấm
double	(adj) [ˈdʌbl] gấp đôi, kép
doubt	(n) [daʊt] nghi ngờ, nghi ngờ
down	(adv) [daʊn] xuống, xuống
downtown	(adj) [ˈdaʊntaʊn] trung tâm thành phố, khu trung tâm
dozen	(n) [ˈdʌzən] tá, tá
draft	(n) [drɑːft] bản nháp, bản thảo
drag	(v) [dræɡ] kéo, lôi
drama	(n) [ˈdrɑːmə] kịch, vở kịch
dramatic	(adj) [drəˈmætɪk] kịch tính, ấn tượng
draw	(v) [drɔː] vẽ, rút thăm
drawing	(n) [ˈdrɔːɪŋ] bản vẽ, hình vẽ
dream	(n) [driːm] giấc mơ, ước mơ
dress	(n) [dres] váy, trang phục
dressed	(adj) [drest] ăn mặc, mặc đồ
drink	(n) [drɪŋk] đồ uống, thức uống
drive	(v) [draɪv] lái xe, lái xe
driver	(n) [ˈdraɪvə(r)] tài xế, người lái xe
drop	(v) [drɒp] rơi, rơi xuống
drug	(n) [drʌɡ] thuốc, ma túy
drunk	(adj) [drʌŋk] say rượu, say
dry	(adj) [draɪ] khô, khô
due	(adj) [djuː] đến hạn, cần phải trả
dull	(adj) [dʌl] đần độn, chậm hiểu
during	(pre) [ˈdjʊərɪŋ] trong, trong suốt
dust	(n) [dʌst] bụi, bụi bặm
duty	(n) [ˈdjuːti] nhiệm vụ, trách nhiệm
dynamic	(adj) [daɪˈnæmɪk] năng động, linh hoạt
each	(det) [iːtʃ] mỗi, từng
eager	(adj) [ˈiːɡə(r)] háo hức, hăng hái
ear	(n) [ɪə(r)] tai, tai
early	(adj) [ˈɜːli] sớm, sớm
earn	(v) [ɜːn] kiếm được, thu được
earth	(n) [ɜːθ] trái đất, đất đai
ease	(n) [iːs] sự dễ dàng, sự thoải mái
easily	(adv) [ˈiːzɪli] dễ dàng, dễ dàng
east	(n) [iːst] phía đông, hướng đông
eastern	(adj) [ˈiːstə(r)n] phía đông, miền đông
easy	(adj) [ˈiːzi] dễ dàng, dễ dàng
eat	(v) [iːt] ăn, ăn
economic	(adj) [ˌiːkəˈnɒmɪk] kinh tế, về kinh tế
economics	(n) [ˌiːkəˈnɒmɪks] kinh tế học, kinh tế học
economist	(n) [ˈiːkənəmɪst] nhà kinh tế học, nhà kinh tế học
economy	(n) [ɪˈkɒnəmi] nền kinh tế, nền kinh tế
edge	(n) [edʒ] cạnh, mép
edition	(n) [ɪˈdɪʃn] phiên bản, bản in
editor	(n) [ˈedɪtə(r)] biên tập viên, biên tập viên
educate	(v) [ˈedjʊkeɪt] giáo dục, dạy dỗ
education	(n) [ˌedjʊˈkeɪʃn] giáo dục, sự giáo dục
educational	(adj) [ˌedjʊˈkeɪʃənl] giáo dục, về giáo dục
educator	(n) [ˈedjʊkeɪtə(r)] nhà giáo dục, nhà giáo dục
effect	(n) [ɪˈfekt] hiệu ứng, tác động
effective	(adj) [ɪˈfektɪv] hiệu quả, có hiệu lực
